Substantivo	Consoantes	Vogais	Sílabas	Tônica	Final	Tipo
bienal	3	3	3	oxítona	al	T5
caporal	4	3	3	oxítona	al	T5
usual	2	3	3	oxítona	al	T5
genial	3	3	3	oxítona	al	T5
amável	3	3	3	paroxítona	el	T5
favorável	5	4	4	paroxítona	el	T5
anil	2	2	2	oxítona	il	T6
capataz	4	3	3	oxítona	az	T4
charlatão	5	4	3	oxítona	ão	T3
banal	3	2	2	oxítona	al	T5
impossível	6	4	4	paroxítona	el	T5
emocional	4	5	5	oxítona	al	T5
intocável	5	4	4	paroxítona	el	T5
abdômen	4	3	3	paroxítona	en	T4
contagem	5	3	3	paroxítona	em	T8
racial	3	3	3	oxítona	al	T5
ocidental	5	4	4	oxítona	al	T5
